Question,Answers,Category
"How do I change my mobile number, email ID or address given while opting for the EMI Network Card?",Log in to Experia and make the necessary changes in your profile section.,FAQ
Can I prepay or foreclose my loan?,"Yes, you can foreclose your loan any time after the payment of your first EMI.   ",FAQ
What is the process for the cancellation of a loan or a transaction?,"If you want to cancel a loan taken from one of our online partners, you need to cancel the order or transaction. After the return of the product and confirmation from our online partner, Bajaj Finserv shall take two additional days for cancellation and reversal of the amount to your card.",FAQ
When will I get the refund of my EMI if I cancel the loan?,"After the loan cancellation, the amount will be reflected in your loan account in 2-3 working days. However, loans cancelled between the 26th and the 10th of the month will be processed only after the 11th of the following month.",FAQ
"If I have missed my payment date, how can I make the payment?","You can make an online payment by clicking on ‘Quick Pay’ in the main menu of Experia. Then select ‘Online Payments’ and click on ‘EMI and Overdue Payments’. Alternatively, you can visit the nearest Bajaj Finserv branch and make the payment.",FAQ
Can I make a payment in advance for my EMI?,"Yes. To do so, go to ‘Quick Pay’ in the main menu of Experia. Then select ‘Online Payments’ and click on ‘Advance Payment’. You can also visit your nearest Bajaj Finance Limited branch to make an advance payment.",FAQ
What is the Turn Around Time (TAT) for any service request?,"The TAT for any request except for a dispute transaction is 2-3 working days. For dispute resolution, the TAT is seven working days.",FAQ
Is it possible to cancel a few items of my order and not the complete order?,"Yes, you can cancel a part of your order. To do so, visit the ‘My Orders’ page and cancel the items you no longer wish to purchase. Once we receive the details from the partner store, we will take two days to get back to you with your new tenor details for the loan.",FAQ
I want to change my repayment mode (banking details). What should I do?,Visit our nearest branch and submit a new banking mandate form and a cancelled cheque of the new bank account from which you want the money to be deducted.,FAQ
How do I change my mobile number/ email ID?,You can update your mobile number or email ID by following these steps:,FAQ
"How do I update my date of birth, PAN details or nominee name?",You can raise a request by clicking here and selecting the loan you wish to update your details.,FAQ
How do I reach a customer care executive?,"If you are not satisfied with our answers to your query, please click on the ‘No’ button provided below each answer to raise a request with customer care. You can also call us on +91-8698010101 from your registered mobile number.",FAQ
How do I contact Bajaj Finance Limited?,"For loan or card-related queries, you can try the following self-service options:",FAQ
I want to change my address in the records. What should I do?,"To change your address in the records, you need to fill and sign the KYC modification form and send it to the nearest branch along with a self-attested copy of your address proof (it is mandatory to update your address in the record).",FAQ
How can I add an additional bank account(s)/ change my default bank account registered at the time of CAN registration?,"You need to download and fill the CAN service request form – bank mandate addition/ deletion/ change in default. After filling the form, send it to your nearest Bajaj Finance Limited branch along with copies of cancelled cheques of the old and the new bank accounts to be updated in our records.",FAQ
Can my units bought through the MFU account be credited to the depository (DEMAT) account?,Yes. You need to register your depository (DEMAT) account in CAN. You can request that the units be credited to the depository (DEMAT) account during the transaction.,FAQ
What are the payment options available to me for online transactions?,You can transact online through any of the following modes:,FAQ
How are mutual funds categorised?,"Mutual funds are generally classified according to asset classes. Most mutual funds are categorised into equity, debt, and hybrid funds.",FAQ
What is MF rating? What does the rating of MF signify?,"A rating is a metric based on the mutual fund's historical risk and returns performance. This serves as a means to compare different funds of the same category over time. Independent agencies like CRISIL, Value Research, Morningstar, and others rate mutual funds.",FAQ
What is an MF portfolio?,A mutual fund portfolio gives you an insight into all your mutual fund investments at one glance.,FAQ
I have an existing mutual fund investment. Do I still need to do KYC verification?,"Mutual fund account creation is a pre-requisite for investing on our upcoming platform. If your KYC is already registered, you will not be required to submit your proof of identity (POI) and proof of address (POA) details.",FAQ
What is the role of an independent financial advisor (IFA) in mutual funds?,"An independent financial advisor (IFA) offers advice to investors on various investment products, including mutual funds. A financial planner is an advisor who helps individuals or organisations achieve their long-term financial goals. An IFA can recommend the best mutual fund for you to consider.",FAQ
Can mutual fund investments help in beating inflation?,"Many equity mutual funds have given an average return of 13-15% in the last few years. While this gain is considerably higher than the inflation rate, and one should always aim to beat inflation, it is essential to note that mutual funds are subject to market fluctuations.  ",FAQ
How can I check my EMI due date?,Follow these steps to see your complete loan details along with your EMI due date:,FAQ
How do I get my statement of account/ repayment schedule/ interest certificate?,You can download your statement of account/ repayment schedule by following the steps given below:,FAQ
How do I get a copy of the original invoice of my consumer durable purchase?,Original invoice copies and loan documents are maintained with us for our records. You may contact the dealer if you wish to retrieve a copy of the same.,FAQ
How do I get my No Dues Certificate (NDC)?,You can view and download your NDC after closing your loan. Follow the steps given below to view and download your NDC:,FAQ
How do I swap my current mode of loan repayment?,Step 1: Collect a blank NACH mandate form from our nearest branch. Click here to locate our nearest branch.,FAQ
"What are the Bajaj Finance Limited PAN, TAN and service tax numbers?",The details are as follows:,FAQ
How do I apply for my TDS refund?,"You can now apply for your TDS refund through My Account. All you need to do is fill in your request details, upload your original form 16A, and your TDS request will be generated.",FAQ
What is the Bajaj Finserv EMI Network Card?,"The Bajaj Finserv EMI Network Card is a unique product that helps you convert your purchases into easy EMIs with just a swipe. It acts as a pre-approved loan in your wallet and can be used to buy your favourite electronics, appliances, furniture, gym membership, clothes or for flight and hotel bookings and more.",FAQ
Where can I use my EMI Network Card?,You can use the Bajaj Finserv EMI Network Card to transact online and offline.,FAQ
How can I apply for an EMI Network Card?,"You can apply for an EMI Network Card when you visit an authorised Bajaj Finance Limited partner store. If you are an existing Bajaj Finserv customer, you can apply for the card online through Experia under the ‘Offer World’ tab.",FAQ
Does Bajaj Finserv EMI Network Card attract any charges?,"Bajaj Finserv EMI Network Card has a joining fee of Rs. 530 An annual fee of Rs. 117 (inclusive of all taxes) is charged for cardholders who have not taken any loan using the EMI Network Card in the preceding year. The preceding year is calculated as 12 months from the validity month printed on the front of your EMI Network Card. For example, if the EMI Network Card is issued in February 2020 (referred to as ‘Member Since’ on the EMI Network Card),  the annual fee payment date will be March 2021.",FAQ
How can I download the Bajaj Finserv App?,"To download the Bajaj Finserv App, please click on one of the following links:",FAQ
How do I download My Account mobile app?,"To download the My Account mobile app, please click on this link.",FAQ
How do I get my EMI Network Card PIN?,"To receive your EMI Network Card PIN on your mobile phone, SMS PIN to 9227564444 from your registered mobile number. You can also change your EMI Network Card PIN through the following steps:",FAQ
How can I view my EMI Network Card number and expiry date?,"To view your EMI Network Card number, download our Bajaj Finserv Wallet app and click on the EMI icon. Then, click on ‘View Card Number’. Once you enter the OTP sent to your registered mobile number, you can see your 16-digit card number.",FAQ
What is the procedure to block my EMI Network card?,You can block Bajaj Finserv EMI Network Card in the following ways:,FAQ
How can I increase my EMI Network Card loan limit?,"Your EMI Network Card loan limit is subject to change in line with our policies. Multiple factors are considered while determining the credit policy, such as your CIBIL score, income, place of residence, overall credit performance across other lenders, etc.",FAQ
How can I use the Bajaj Finserv EMI Network Card to shop on Flipkart?,You can use EMI Network Card to shop on Flipkart by following these steps:,FAQ
Why has my EMI Network Card been blocked?,Your EMI Network Card has been blocked in line with our credit policy.,FAQ
How do I ensure that my EMI Network Card remains active?,Pay your EMIs on time and maintain a healthy CIBIL score of 750 or more for uninterrupted service. You can view the status of your card by using the Bajaj Finserv Mobikwik app.,FAQ
Where can I find answers to queries about Bajaj Finserv Personal Loan?,You can find answers to all your personal loan-related queries here.,FAQ
I have questions about a home loan. Where can I find answers to them?,You can find answers to all your home loan-related queries here.,FAQ
Where can I find answers to frequently asked questions about a business loan?,Find the answers to all your business loan queries here.,FAQ
I’m looking for a clarification about loans against property. Where can I find this?,Find answers to all your queries about loans against property here.,FAQ
I would like to find answers to queries related to professional loans. Please help.,Bajaj Finserv offers two kinds of professional loans – loans for doctors and loans for chartered accountants. Find the answers to all your doctor loan-related queries here. Answers to your CA loan-related queries can be found here.,FAQ
I have previously taken a loan against shares. Where can I find the FAQs?,Find answers to your loan against securities-related queries here.,FAQ
How long does it take to process a gold loan?,"A gold loan is usually processed on the same day of application. However, the processing time also depends on the loan amount, number of ornaments, type of ornaments, time taken to complete the evaluation and banking transaction and other factors.",FAQ
Are there any charges on part-prepayment?,"If you have a surplus amount and want to make a part-prepayment, you can do so without paying additional charges.",FAQ
How much loan amount can be availed of at a time?,"Bajaj Finserv Gold Loan offers high-value funds up to Rs. 2 crore with attractive interest rates and multiple repayment options for added financial ease.
",FAQ
How should the gold loan be repaid?,Bajaj Finserv Gold Loan comes with a wide range of repayment options that make the loan more affordable for you. You can choose any one of the following repayment plans that suit your budget:,FAQ
What security is required against the gold loan?,"As per RBI guidelines, you have to pledge your gold ornaments as collateral to avail of a gold loan. ",FAQ
Who is eligible to avail of a gold loan? What security has to be provided to get this loan?,"Any individual aged between 21 years and 70 years with valid KYC documents residing in an area with a Bajaj Finserv branch that offers gold loans can apply for such a loan. As per the company’s policy, borrowers must provide a gold ornament of more than 20 carats for this credit facility.",FAQ
What documents are needed for a loan against gold ornaments?,"As per RBI guidelines, only valid KYC documents are needed to seek a gold loan from Bajaj Finserv.",FAQ
Are the pledged gold ornaments safe and secure with Bajaj Finserv?,"At Bajaj Finserv, we have strongrooms featuring world-class safety protocols that assure the safety of your gold ornaments. We have CCTV surveillance, gold vault and motion detector installed in all branches offering this loan. All these security arrangements are reviewed periodically for added safety.",FAQ
Is there a possibility of damage to the ornaments at the time of appraising?,Appraisal of gold is done by trained staff with due care and in the customer's presence to ensure that there is no damage.,FAQ
"In case of default, when will the gold jewellery I pledged as collateral be auctioned off?","If there is a default, the gold jewellery can be auctioned off as per RBI guidelines after sending requisite intimations or notices to you.",FAQ
What is a Flexi loan?,"A Flexi loan is a unique and innovative facility offered by Bajaj Finserv. It allows customers to manage their cash flow more effectively and reduce their interest up to 45%. With the Flexi facility, you can borrow funds from a sanctioned limit whenever you need them. You can also prepay when you have additional funds. You need to pay interest only on the amount you use and not on the entire loan limit. You can also lower your monthly instalment by opting for interest-only EMIs for the initial part of the tenor.",FAQ
What are the variants of the Flexi loan?,There are two variants of Flexi loan:,FAQ
What are the benefits of the Flexi term loan?,The Flexi term loan has the following benefits:,FAQ
What are the benefits of Flexi Hybrid loan?,Flexi Hybrid loans offer many benefits over a term loan:,FAQ
How does a Flexi loan work?,"After the disbursement of your Flexi loan, you are given a virtual account number in which you can do an RTGS/ NEFT of surplus funds as prepayment. You can withdraw the surplus back by logging into your My Account loan account and placing a request for the same.",FAQ
How will I know about my loan details and virtual account number?,You will receive a welcome kit within six working days of availing of the Flexi loan facility. This kit will have all the details. You will also receive an email on your registered email ID and an SMS on the registered mobile number informing you of the virtual account number after 48 hours of your loan disbursement.,FAQ
Will any intimation be sent to me for the due instalment amount and date?,"As a Flexi customer, you will receive the following on your registered mobile number:",FAQ
Under what circumstances can Bajaj Finance Limited revoke the facility extended to me?,"The facility can be revoked/ frozen in case of non-payment/ delayed payments of instalment/ interest, bounce in Bajaj Finance Limited EMI, a drop in your CIBIL score or change in organisation/ occupation.",FAQ
How is the interest calculated and billed to me?,Interest is calculated on the daily highest utilised amount. The interest computation cycle is from the 26th of the month to the 25th of next month if the due date is the 5th of every month. It is calculated from the 22nd of the month to the 21st of next month if the due date is the 2nd of the month and payable on the immediate next month’s due date by electronic clearing service (ECS).,FAQ
"After completing the withdrawal transaction, how much time will it take to get funds in my account?","For requests placed until 2 p.m. from Monday to Friday, the amount will be transferred the same day as per RTGS/ NEFT timelines. For requests placed after 2 p.m. and on Saturdays, the amount will be transferred on the next working day.",FAQ
How do I transact through my Flexi loan?,You can do a part-payment through My Account by following these steps:,FAQ
How and when can I foreclose my loan?,You can foreclose your loan any time after paying your first EMI. Follow these steps to foreclose your loan:,FAQ
Do I have to pay any charges when I foreclose my loan?,No foreclosure charges are applicable on EMI finance loans and loans availed of using your EMI Network Card. The following charges apply to other loans:,FAQ
How do I get my No Dues Certificate (NDC)?,"You can view and download your NDC after loan closure.
To get the certificate, follow these steps:",FAQ
Will foreclosing my loan have any impact on my CIBIL score?,"No, there will be no impact of loan foreclosure on your CIBIL score. Once the loan is foreclosed, the same will be reported to CIBIL as closed along with ‘0 outstanding’.",FAQ
When will I get my original documents back after I foreclose my loan?,"If you have any mortgage loan with us, you will receive the same at your nearest Bajaj Finserv branch within 7 working days from the date of foreclosure. For any other loan, all your documents, including security PDCs, will get purged post loan closure.",FAQ
How will I get my foreclosure letter?,Follow these steps to get your foreclosure letter:,FAQ
When do I become liable for tax deducted at source (TDS) on my fixed deposit?,"Under Section 194A of the Income Tax Act, 1961, if the interest earned in a year from investments in fixed deposits floated by NBFCs exceeds Rs. 5,000, the interest income is taxable.",FAQ
When is TDS deducted?,TDS is deducted when the interest amount is credited to the FD holder’s account.,FAQ
"If I have multiple FDs with Bajaj Finance Limited, how will TDS be calculated?","TDS deduction happens against the FD holder’s PAN. Hence, the interest income is arrived at after consolidating all fixed deposits. TDS will be calculated by Bajaj Finance and paid to the government as per the interest payment frequency of the payout scheme selected by the customer.",FAQ
What is the TDS rate?,Tax is deducted at source at rates as mentioned in section 194A of the IT Act 1961. The present rates are as follows:,FAQ
What will the TDS rate be if I do not have a PAN card?,"In the absence of PAN, the TDS rate will be slightly higher. A 20% (including surcharge and education cess) TDS will be applicable.",FAQ
Where can I view the amount deducted against my FD as TDS?,"The amount deducted will reflect in the quarterly TDS certificate issued by Bajaj Finance Limited as per Rule 31 of the Income Tax Rules, 1962. It will also reflect in the FD holder’s statement of account, which can be downloaded from My Account.",FAQ
When does Bajaj Finance Limited issue a TDS certificate?,"As per Rule 31 of the Income Tax Rules, 1962, Bajaj Finance Limited issues a TDS certificate in Form 16A every quarter, within 15 days from the due date of furnishing the statement of tax deducted at source. The due date for the issue of the TDS certificate is given below:",FAQ
What is Form 15G/ 15H?,"Form 15G/ 15H is a self-declaration form that the depositor can submit to avoid TDS if their interest income from fixed deposits is higher than Rs. 5,000, but total income is below the taxable limit.",FAQ
What is the difference between Form 15G and Form 15H?,"Form 15G is meant for resident individuals below 60 years of age, while Form 15H is for those aged 60 years and above during that financial year.",FAQ
Where can I download Form 15G/ H from?,"These forms are readily available at your nearest Bajaj Finance Limited branch. You can also contact your tax consultant for the same. Alternatively, you can visit their website and download the forms online from the ‘Forms/ Download’ section.",FAQ
How will the submission of Form 15G/ H impact TDS deduction?,"If your total taxable income during the financial year is not likely to exceed the taxable limit as per the income tax slab, you can submit Form 15G/ H to Bajaj Finance Limited. From the date of submission of Form 15 G/ H, TDS will not be cut on the interest paid to you.",FAQ
"On submitting Form 15G/ H to Bajaj Finserv, will there be any query from the Income Tax Department?","Since a copy of Form 15G/ H has to be sent to the Income Tax Department, the department may raise a query if they deem it necessary.",FAQ
What is a fixed deposit scheme?,"A fixed deposit scheme is a savings option that helps you earn interest on money parked with Bajaj Finance Limited at periodic intervals, either through simple or compounded interest on the principal amount. The interest rates are typically higher than those of savings accounts because the money is locked in for a specific period and cannot be withdrawn at the will of the depositor, except in certain scenarios in which the customer is ready to bear the prematurity penalty.",FAQ
Who can invest in a Bajaj Finance Limited Fixed Deposit scheme?,"Individuals, companies, Hindu Undivided Families, a body of individuals, associations of persons, societies, trusts, sole proprietorships, partnerships, societies (both residential and credit co-operative), clubs, schools, universities etc., can invest.",FAQ
Who cannot invest in Bajaj Finance Limited Fixed Deposit scheme?,"Non-resident Indians, foreign citizens, persons of Indian origin (PIOs), charitable trusts and entities qualifying under section 11(5) of the Income Tax Act cannot invest in a Bajaj Finance Limited FD scheme.",FAQ
What are the available interest payout options?,"We offer cumulative and non-cumulative interest payment options.
In a non-cumulative fixed deposit scheme, the interest is payable monthly, quarterly, semi-annually and annually. This scheme is convenient if you require periodic interest payment.",FAQ
What are the interest rates offered by Bajaj Finance Limited?,"For information on FD interest rates, email fd@bajajfinserv.in.",FAQ
Will special rates be given to some categories of applicants?,"Yes, senior citizens are eligible for special rates over and above the card rates of interest. Senior citizens (more than 60 years of age, subject to proof of age) can get an additional rate of 0.25% per annum on the size of their deposit. ",FAQ
My loan/ FD with Bajaj Finance Limited has been closed/ has matured. Will I still get a 0.25% existing client benefit while investing in an FD?,"No, you will not be eligible for the benefit.",FAQ
I am an EMI Network Card holder. Will I still get 0.25% existing client benefit while investing in an FD?,"EMI Network Card holders will get the 0.25% existing client benefit only if they have used the card at least once, which means a loan account number has to get created in our records.",FAQ
I have availed of an auto loan from Bajaj Auto Finance Limited. Will I still get the 0.25% existing client benefit while investing in an FD?,"No, you will not.",FAQ
Are there any benefits on FD renewal?,There are no benefits on FD renewal.,FAQ
BFL has just changed the FD rates. Will those new rates apply to my existing deposit?,"No. Since you have locked in your money with us at a specific rate, you will continue to receive interest at that rate till maturity. If you wish to avail of the new rate, you can invest in a new FD with us.",FAQ
What are the benefits of a Bajaj Finance Fixed Deposit?,A Bajaj finance Limited FD has the following features and benefits:,FAQ
What service facilities will be offered to me?,We are a service-oriented organisation focusing on delivering the best service experience. Some of our key highlights are:,FAQ
Will I need to provide any referral for opening a fixed deposit account?,No referrals are required for opening a fixed deposit account.,FAQ
What payment modes can I use?,You can make a payment by cheque or online through RTGS/ NEFT.,FAQ
Can I open a fixed deposit account by cash payment?,"No, you cannot.",FAQ
What documents do I need to submit for opening a fixed deposit account?,Here’s a list of documents you need to provide for opening an account with us.,FAQ
"A senior citizen with a PAN and Aadhaar card has shifted to rented accommodation. The rent agreement is in their son's name and does not contain the senior citizen’s (parent’s) name. In such a case, which documents are needed from the senior citizen to process his FD?","Apart from PAN and Aadhaar details, the senior citizen should fill in their current/correspondence address and tick ‘No’ for “Is current/correspondence address same as permanent address?” on page 1 of the FD application form as shown in the screenshot below. They need not submit proof of correspondence address.",FAQ
Is there any charge/processing fee levied on opening a fixed deposit account?,Opening a fixed deposit account does not attract any charge or processing fee.,FAQ
Can I show my Bajaj Finance FD investment for tax exemption?,A Bajaj Finance FD investment cannot be shown under section 80C for a tax deduction.,FAQ
When will my interest amount be paid?,Your interest amount will be paid as per the following schemes:,FAQ
"Where can I find my FD details like amount, tenor and interest rate?","For these details, you can refer to your FDR or statement of account, available on our customer portal – Experia.",FAQ
I have lost my FD certificate/ receipt. How do I get a new one?,"The original FD receipt is couriered to your address as per our records. If a duplicate FD receipt is required, please submit a written request duly signed by all the FD account holders at our branch.",FAQ
I wish to add a nominee/ change the nominee details on my FD. How can I do so?,"For any request to change the nominee’s name, fill the nomination form available here. Submit the duly signed form to our branch or your relationship manager or broker. Based on this, the changes will be made to our records.",FAQ
When will I receive the TDS certificate?,The TDS certificate will be emailed to the depositor every quarter.,FAQ
How soon will I receive my fixed deposit receipt?,You will receive the fixed deposit receipt by courier within three weeks of creating your deposit account.,FAQ
I am unable to track my fixed deposit receipt (FDR). Please help.,"An FDR tracking system will be made available on our website shortly. Meanwhile, a virtual copy of the FD certificate is available online on our Customer Portal – My Account.",FAQ
What interest amount will be credited to my account?,"Based on the scheme you have chosen, the interest amount will be credited to the bank account in our records. After it is credited to your account, you will receive confirmation via SMS/ email. Refer to your statement of account for the details on the interest scheme you have chosen and details of the interest payable.",FAQ
How will the maturity amount be transferred?,"The maturity amount will be transferred through National Electronic Fund Transfer/ Real Time Gross Settlement modes to the bank account mentioned by you in the application form. The entire amount shall be transferred on the date of maturity of the deposit. If the electronic account transfer bounces, you will be informed by phone, email, and letter to update the bank account details registered with us.",FAQ
How can I change my bank account details?,Download the relevant form from here and submit it with a copy of your FDR and cancelled cheque to your relationship manager/ broker.,FAQ
I have not received the interest on my FD,"If you have not received the interest on your fixed deposit, then follow these three steps to ensure it is credited:",FAQ
How can I renew my FD?,You can renew your FD in the following three ways:,FAQ
Which documents are needed to renew my FD?,We require only the FD application form. You may attach the original FD receipt with it (recommended but not mandatory).,FAQ
Do I need to submit KYC documents along with my photo once again at the time of FD renewal?,No. You don’t have to submit KYC documents and a photo again at the time of FD renewal.,FAQ
"During renewal, can I change the name of the nominee or co-applicant?","Yes, you can change the nominee, but not the co-applicant.",FAQ
Can you give me a loan against my FD if I require money?,"After three months of the lock-in period, FD customers can seek a loan of up to 75% of the deposit amount. The loan interest rate will be 2% higher than the rate at which the deposit was created. The tenor will be the residual maturity of the FD.",FAQ
How to apply for a loan against an FD?,Please contact your relationship manager or branch if you require a loan against FD.,FAQ
Will my FD be impacted if I cannot service the loan taken against my FD?,"No, there will be no impact on the FD. All outstanding dues will be adjusted against the FD maturity proceeds, and the balance will be paid to you.",FAQ
"I already have an outstanding loan (for example, a home loan) with Bajaj Finance Limited and have invested in a Bajaj Finance FD. However, I am unable to service the loan taken. Will my FD be impacted?","No, there will be no impact on the FD. The outstanding dues can’t be adjusted against FD. You may choose to liquidate the FD prematurely and repay the outstanding dues.",FAQ
Is a loan against FD an overdraft facility?,"No, it’s a term loan.",FAQ
I have just repaid my entire loan against FD. Can I avail of a new loan against FD?,"Yes, repaying your earlier loan against FD entirely makes you eligible for a fresh one.",FAQ
Can I avail of any income tax deduction on the EMI I pay on loan against FD?,"No. Income tax deduction is not applicable on the EMIs paid towards a loan against a fixed deposit.
 ",FAQ
Can I avail of a loan from you against an FD of some other NBFC/ bank?,No. We provide loans against Bajaj Finance FDs only.,FAQ
I am a new investor and want to invest in Bajaj Finance FDs. Whom should I get in touch with?,"You can contact your investment advisor, send an email at fd@bajajfinserv.in or call 020-71124281 (charges apply).",FAQ
"I have just submitted my FD application form, and I need to know the status of my application. Whom should I get in touch with?","You can get in touch with your relationship manager/broker, send an email to fd@bajajfinserv.in or call 020-71124281 (charges apply).",FAQ
"I am an existing investor in Bajaj Finance FD, and I have a query. Whom should I get in touch with?","You can contact your regional manager/ broker or raise a request by clicking on the 'No’ button provided below each answer. Select ‘Others’ as the request type to write about your query. Alternatively, you can visit our nearest branch.",FAQ
Is the interest on FD taxable? What is the taxable amount?,"Yes, under Section 194A of the Income Tax Act, 1961, if the interest earned from fixed deposits across all NBFCs exceeds Rs. 5,000, it is taxable. The depositor’s interest income will arrive after consolidating all his fixed deposits. TDS will be calculated by Bajaj Finance and paid to the government quarterly. If the depositor provides 15G/ 15H during the application stage, he will be exempt from paying tax on his interest income.",FAQ
Where can I get and submit Form 15 G/ H?,You can access the form in the following ways:,FAQ
How frequently is TDS deducted?,TDS is deducted quarterly for all modes of payment except monthly.,FAQ
"Even though I had submitted Form 15 G/H, my TDS was deducted. Whom should I get in touch with?","You can contact your relationship manager/broker or raise a request by clicking on the ‘No’ button provided below each answer. To raise a query, select ‘Others’ as the request type.",FAQ
"Can I withdraw my FD before the tenor expires? If yes, what would the impact be on the interest?","The lock-in period for an FD is three months, before which it cannot be withdrawn. For premature withdrawal, there are penalty slabs as follows:",FAQ
The primary applicant has passed away. Can the co-applicant in the FD request for prematurity?,"Yes, the co-applicant has to submit a written request along with the death certificate and the FDR to their relationship manager/broker. The FD proceeds (post deduction of TDS) will be credited to the bank account registered with us within 8 days of receiving the application.",FAQ
The primary applicant has passed away within a few days of investing in an FD. Will Bajaj Finance still deduct TDS in case of premature withdrawal?,"Yes, TDS will be deducted if the FD is withdrawn prematurely.",FAQ
"If the primary applicant expires and there is no nominee or joint holder, what documents are required from the legal heir who wishes to withdraw the FD prematurely?","If a primary applicant with no nominees or joint depositors expires, the legal heir has to submit the following documents:",FAQ
"If the primary applicant dies, then on maturity, can the co-applicant request to renew the FD by adding a new primary applicant?","No, such a deposit cannot be renewed.",FAQ
"If the co-applicant dies, can his name be replaced with another co-applicant during renewal?","No, the deceased co-applicant cannot be replaced with another co-applicant. However, the deceased co-applicant’s name can be deleted from the FD by providing valid documents.",FAQ
"Can the new Karta be made the primary applicant without withdrawing the FD if a Karta dies in an HUF? If yes, what are the documents required? What documents are required from the new Karta who wishes to withdraw the FD prematurely?","In such scenarios, the following documents are required:",FAQ
"If the primary applicant dies, is it mandatory to inform Bajaj Finance Limited about the death?",Yes. That’s because Bajaj Finance Limited cannot continue to pay interest and deduct TDS on the PAN of a deceased person.,FAQ
"A is the primary applicant in one deposit, and B is the joint applicant. Now, for another FD, if B is the primary applicant (and A may or may not be a joint applicant), does B have to submit his KYC documents again?","No. As long as the B’s KYC documents are valid, he need not submit them again.",FAQ
Can an NRI be a co-applicant in an FD?,"No, Bajaj Finance Limited does not accept FDs in which co-applicants are NRIs.",FAQ
